Розділ,Заголовок,Дата,Посилання,Опис
Політика,Публікації,Дата не вказана,https://www.pravda.com.ua/articles/,"Естафета – одна з найцікавіших та найбільш непередбачуваних дисциплін в біатлоні, та й в інших циклічних видах спорту також. Влада створює військового мобільного оператора – захищену мережу, яка забез..."
Політика,"Фото, аудіо ""Визволяв"" із ТЦК під приводом слідчих дій: судитимуть правоохоронця з Миколаївщини",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021412/,"ДБР завершило розслідування щодо правоохоронця з Миколаївської області, який за гроші допомагав військовозобов'язаним уникати мобілізації. Обвинувальний акт скеровано до суду. Джерело : сайт Державног..."
Політика,Колишнього міністра Нагірного Карабаху Варданяна засудили до 20 років в'язниці,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021413/,"Бакинський військовий суд Азербайджану засудив колишнього державного міністра колишньої самопроголошеної Нагірно-Карабаської республіки Рубена Варданяна до 20 років ув'язнення, повідомляють місцеві ЗМ..."
Політика,"Відео, фото Росія вбила дроном трьох працівників Слов'янської ТЕС",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021407/,"Російські окупаційні війська 17 лютого вдарили дроном по автомобілю, в якому перебували працівники Слов'янської теплоелектростанції, що на Донеччині. Внаслідок атаки троє енергетиків загинули. Джерело..."
Політика,"відео ССО уразили місце зберігання ""Іскандера"" та пункт управління дронами ""Рубікон""",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021404/,"Підрозділи Сил спеціальних операцій ЗСУ завдали ударів дронами по низці військових об'єктів російських військ на тимчасово окупованих територіях, зокрема уразили місце зберігання оперативно-тактичного..."
Політика,Росія почне повністю блокувати Telegram з 1 квітня – Baza,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021405/,"Telegram-каналу ""База"" повідомив, що в Росії почнуть повністю блокувати цю соцмережу з 1 квітня. ""Роскомнадзор"" це не підтверджує, але й не спростовує. Джерело: Baza, "" Коммерсантъ"" Деталі: Telegram-к..."
Політика,"На КПП Польщі з Україною у мандрівника виявили гранату, людей евакуювали",Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021400/,"На пункті пропуску в Долгобичові на кордоні Польщі з Україною прикордонники виявили у одного з пасажирів гранату, після чого з будівлі КПП евакуювали 19 людей. Джерело: ""Європейська правда"" з посиланн..."
Політика,Сибіга про нову атаку РФ: Москва зневажає мирні зусилля перед переговорами в Женеві,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021399/,"Міністр закордонних справ України Андрій Сибіга після нової атаки РФ констатував зневагу Москви до мирних зусиль перед переговорами у Женеві та закликав збільшити тиск, зокрема, санкційний, на Росію, ..."
Політика,"Apple виходить на ринок відеоподкастів, щоб конкурувати з YouTube, Spotify та Netflix",Дата не вказана,https://mezha.ua/news/apple-vihodit-na-rinok-videopodkastiv-308635,"Apple розширює подкастинг і виходить на ринок відеоподкастів. Компанія прагне конкурувати з YouTube, Spotify та Netflix. Цієї весни в додатку Apple Podcasts з'явиться підтримка інтегрованих відеоподка..."
Політика,ЗМІ: На Донеччині планують скоротити понад 40 медиків швидкої з Мирнограда,Дата не вказана,https://www.pravda.com.ua/news/2026/02/17/8021394/,"У Новодонецькій громаді Донеччини до 1 квітня планують скоротити понад 40 працівників швидкої з Мирнограда. Медики називають рішення незаконним і попереджають, що без оперативної допомоги можуть залиш..."
Європейська правда,Politico: позиція Угорщини може загальмувати 20-й пакет санкцій ЄС проти Росії,Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231359/,"Через позицію Угорщини щодо російських спортивних посадовців ухвалення чергових санкцій ЄС може затягнутися. Про це стало відомо виданню Politico від власних джерел, повідомляє ""Європейська правда"". В..."
Європейська правда,CNN: США нарощують військову міць на Близькому Сході на тлі переговорів з Іраном,Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231349/,"Збройні сили США продовжують масштабне нарощування авіаційних і морських сил на Близькому Сході напередодні запланованих на вівторок у Женеві переговорів з Іраном. Про це, як пише ""Європейська правда""..."
Європейська правда,Чи готовий НАТО до реальних кроків для захисту Балтії від РФ,Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231336/,"У відповідь на посилення активності Росії вздовж східного флангу НАТО Конгрес США нещодавно схвалив 200 млн доларів безпекової допомоги для Естонії, Латвії та Литви. Збереження Балтійської ініціативи ..."
Європейська правда,Трамп перед зустрічами в Женеві: Україні краще швидко сісти за стіл переговорів,Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231339/,"Президент США Дональд Трамп заявив у понеділок, перед тристоронніми перемовинами у Женеві, що Україні краще ""швидко сісти за стіл переговорів"" з Росією. Про це глава Білого дому сказав журналістам на ..."
Європейська правда,"Чехія та Польща просунулися у врегулюванні питання ""територіального боргу""",Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/16/7231330/,"Міністр закордонних справ Чехії Петр Мацінка заявив, що Прага та Варшава просунулися в питанні так званого чеського територіального боргу перед Польщею. Про це він сказав після переговорів зі своїм по..."
Європейська правда,"ЄС послаблює критику Орбана, 4,4 млн снарядів для ЗСУ, Норвегія купить газ Україні: новини дня",Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/16/7231331/,"Українська делегація приїхала на переговори у Швейцарію, а генсек Ради Європи прибув до Києва. Ален Берсе каже, що робота над Спецтрибуналом щодо російської агресії просувається занадто повільно, а ам..."
Європейська правда,"Не на часі? Чому Україна зволікає з ""фінансовим безвізом"" і скільки коштуватиме затримка",Дата не вказана,https://www.eurointegration.com.ua/articles/2026/02/17/7231325/,"Єдина зона платежів у євро (SEPA), котра охоплює ЄС та деякі інші країни Європи, дозволяє здійснювати безготівкові перекази в євро між країнами-учасницями так само легко, швидко і дешево, як і всереди..."
Європейська правда,Останні новини,Дата не вказана,https://www.eurointegration.com.ua/news/,"© 2014-2026, Європейська правда, eurointegration.com.ua ( детальніше про нас ) . Суб'єкт у сфері онлайн-медіа; ідентифікатор медіа – R40-02162. E-mail редакції: editors@eurointegration.com.ua Адреса: ..."
Європейська правда,"У блоці Мерца кажуть, що територіальні поступки України були б ознакою слабкості",Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231362/,"У Німеччині в керівному блоці ХДС/ХСС вважають, що готовність України поступитися територіями, які Росії не вдалося завоювати, була б ознакою слабкості. Про це, як пише ""Європейська правда"", повідомля..."
Європейська правда,Сенатор-астронавт Марк Келлі розглядає похід у президенти США,Дата не вказана,https://www.eurointegration.com.ua/news/2026/02/17/7231361/,"Демократ Марк Келлі, сенатор від штату Аризона та колишній астронавт, заявив, що ""серйозно розглядає"" можливість балотуватися в президенти США у 2028 році. Про це він розповів BBC , повідомляє ""Європе..."
Колонки,Публікації,Дата не вказана,https://www.pravda.com.ua/articles/,"Естафета – одна з найцікавіших та найбільш непередбачуваних дисциплін в біатлоні, та й в інших циклічних видах спорту також. Влада створює військового мобільного оператора – захищену мережу, яка забез..."
Колонки,"Російський десант генпрокурора Кравченка: російські паспорти, бізнес та податки в РФ",Дата не вказана,https://www.pravda.com.ua/columns/2026/02/12/8020457/,"Кравченко розхитує крісло під собою. Нещодавнє призначення колишнього захисника Іллі Киви – одіозного адвоката Олексія Шевчука – в конкурсну комісію САП, погроза ""прийду за кожним особисто"", фальшуван..."
